DocLabel,Speaker Label,Displayed Speaker Name,Full Speaker Name,First Turn,RangeFrom,RangeTo,Notes,,,,
ls003-1,C,,,,,,,,,,
ls003-2,A,Daniel,,,,,,,,,
ls003-2,B,,,,,,,,,,
ls003-2,C,,,,,,,,,,
ls004-1,A,Daniel,,,,,,,,,
ls004-1,B,,,,,,,,,,
ls004-1,C,,,,,,,,,,
ls004-2,A,Daniel,,,,,,,,,
ls004-2,B,,,,,,,,,,
ls004-2,C,,,,,,,,,,
ls005-0,A,Daniel,,,,,,,,,
ls005-0,B,,,,,,,,,,
ls005-0,C,,,,,,,,,,
ls005-1,A,Daniel,,,,,,,,,
ls005-1,B,,,,,,,,,,
ls005-1,C,,,,,,,,,,
ls005-2,A,Daniel,,,,,,,,,
ls005-2,B,,,,,,,,,,
ls005-2,C,,,,,,,,,,
ls006-0,A,Daniel,,,,,,,,,
ls006-0,B,,,,,,,,,,
ls006-0,C,,,,,,,,,,
ls006-1,A,Daniel,,,,,,,,,
ls006-1,B,,,,,,,,,,
ls006-1,C,,,,,,,,,,
ls006-2,A,Daniel,,,,,,,,,
ls006-2,B,,,,,,,,,,
ls006-2,C,,,,,,,,,,
ls007-0,A,Daniel,,,,,,,,,
ls007-0,B,,,,,,,,,,
ls007-0,C,,,,,,,,,,
ls007-1,A,Daniel,,,,,,,,,
ls007-1,B,,,,,,,,,,
ls007-1,C,,,,,,,,,,
ls007-2,A,Daniel,,,,,,,,,
ls007-2,B,,,,,,,,,,
ls007-2,C,,,,,,,,,,
ls008-0,A,Daniel,,,,,,,,,
ls008-0,B,,,,,,,,,,
ls008-0,C,,,,,,,,,,
ls008-1,A,Daniel,,,,,,,,,
ls008-1,B,,,,,,,,,,
ls008-1,C,,,,,,,,,,
ls008-2,A,Daniel,,,,,,,,,
ls008-2,B,,,,,,,,,,
ls008-2,C,,,,,,,,,,
ls009-0,A,Daniel,,,,,,,,,
ls009-0,B,,,,,,,,,,
ls009-0,C,,,,,,,,,,
ls009-1,A,Daniel,,,,,,,,,
ls009-1,B,,,,,,,,,,
ls009-1,C,,,,,,,,,,
ls009-2,A,Daniel,,,,,,,,,
ls009-2,B,,,,,,,,,,
ls009-2,C,,,,,,,,,,
ls010-0,A,Daniel,,,,,,,,,
ls010-0,B,,,,,,,,,,
ls010-0,C,,,,,,,,,,
ls010-1,A,Daniel,,,,,,,,,
ls010-1,B,,,,,,,,,,
ls010-1,C,,,,,,,,,,
ls010-2,A,Daniel,,,,,,,,,
ls010-2,B,,,,,,,,,,
ls010-2,C,,,,,,,,,,
ls011-0,A,Daniel,,,,,,,,,
ls011-0,B,,,,,,,,,,
ls011-0,C,,,,,,,,,,
ls011-1,A,Daniel,,,,,,,,,
ls011-1,B,,,,,,,,,,
ls011-1,C,,,,,,,,,,
ls011-2,A,Daniel,,,,,,,,,
ls011-2,B,,,,,,,,,,
ls011-2,C,,,,,,,,,,
ls012-0,A,Daniel,,,,,,,,,
ls012-0,B,,,,,,,,,,
ls012-0,C,,,,,,,,,,
ls013-0,A,Daniel,,,,,,,,,
ls013-0,B,,,,,,,,,,
ls013-0,C,,,,,,,,,,
ls013-1,A,Daniel,,,,,,,,,
ls013-1,B,,,,,,,,,,
ls013-1,C,,,,,,,,,,
ls013-2,A,Daniel,,,,,,,,,
ls013-2,B,,,,,,,,,,
ls013-2,C,,,,,,,,,,
ls014-0,A,Daniel,,,,,,,,,
ls014-0,B,,,,,,,,,,
ls014-0,C,,,,,,,,,,
ls014-1,A,Daniel,,,,,,,,,
ls014-1,B,,,,,,,,,,
ls014-1,C,,,,,,,,,,
ls014-2,A,Daniel,,,,,,,,,
ls014-2,B,,,,,,,,,,
ls014-2,C,,,,,,,,,,
ls015-0,A,Daniel,,,,,,,,,
ls015-0,B,,,,,,,,,,
ls015-0,C,,,,,,,,,,
ls015-1,A,Daniel,,,,,,,,,
ls015-1,B,,,,,,,,,,
ls015-1,C,,,,,,,,,,
ls015-2,A,Daniel,,,,,,,,,
ls015-2,B,,,,,,,,,,
ls015-2,C,,,,,,,,,,
ls016-0,A,Daniel,,,,,,,,,
ls016-0,B,,,,,,,,,,
ls016-0,C,,,,,,,,,,
ls016-1,A,Daniel,,,,,,,,,
ls016-1,B,,,,,,,,,,
ls016-1,C,,,,,,,,,,
ls016-2,A,Daniel,,,,,,,,,
ls016-2,B,,,,,,,,,,
ls016-2,C,,,,,,,,,,
ls017-0,A,Daniel,,,,,,,,,
ls017-0,B,,,,,,,,,,
ls017-0,C,,,,,,,,,,
ls017-1,A,Daniel,,,,,,,,,
ls017-1,B,,,,,,,,,,
ls017-1,C,,,,,,,,,,
ls017-2,A,Daniel,,,,,,,,,
ls017-2,B,,,,,,,,,,
ls017-2,C,,,,,,,,,,
ls018-0,A,Daniel,,,,,,,,,
ls018-0,B,,,,,,,,,,
ls018-0,C,,,,,,,,,,
ls018-1,A,Daniel,,,,,,,,,
ls018-1,B,,,,,,,,,,
ls018-1,C,,,,,,,,,,
ls018-2,A,Daniel,,,,,,,,,
ls018-2,B,,,,,,,,,,
ls018-2,C,,,,,,,,,,
ls019-0,A,Daniel,,,,,,,,,
ls019-0,B,,,,,,,,,,
ls019-0,C,,,,,,,,,,
ls019-1,A,Daniel,,,,,,,,,
ls019-1,B,,,,,,,,,,
ls019-1,C,,,,,,,,,,
ls019-2,A,Daniel,,,,,,,,,
ls019-2,B,,,,,,,,,,
ls019-2,C,,,,,,,,,,
ls020-0,A,Daniel,,,,,,,,,
ls020-0,B,,,,,,,,,,
ls020-0,C,,,,,,,,,,
ls020-1,A,Daniel,,,,,,,,,
ls020-1,B,,,,,,,,,,
ls020-1,C,,,,,,,,,,
ls020-2,A,Daniel,,,,,,,,,
ls020-2,B,,,,,,,,,,
ls020-2,C,,,,,,,,,,
ls021-1,A,Daniel,,,,,,,,,
ls021-1,B,,,,,,,,,,
ls021-1,C,,,,,,,,,,
ls021-2,A,Daniel,,,,,,,,,
ls021-2,B,,,,,,,,,,
ls021-2,C,,,,,,,,,,
ls022-0,A,Daniel,,,,,,,,,
ls022-0,B,,,,,,,,,,
