Series,Unique Event Name,Date,YouTube,Title or Name of Stream,Transcript,Github,Slides,Guests,Participants,Paper Link
GuestStream,GuestStream #013.1,11/8/2021 12:00 PM,https://youtu.be/eVbWeWEX9dA,ALtered Beliefs Under pSychedelics (ALBUS): A unified predictive processing framework for states of consciousness and their alterations,,,,Adam Safron,"Daniel Friedman,Bleu Knight",n/a
GuestStream,GuestStream #012.1,10/25/2021,https://youtu.be/zVvTAnRwigQ,"Event-Predictive Active Inference: Developing Conceptual, Compositional Cognition from Sensorimotor Experiences",,,,Martin V Butz,Daniel Friedman,n/a
GuestStream,GuestStream #011.1,10/22/2021 10:00 AM,https://youtu.be/Zvwt-98kcFM,The Ontology of Mental Behavior: Toward a Coherent Solution to the Problem of Psychology,,,https://docs.google.com/presentation/d/1WelviEjpg9A2OOU3Z59SRPIkoPeeOehNXbrxPcPwXKY/edit?usp=sharing,Gregg Henriques,"Daniel Friedman,Bleu Knight",n/a
GuestStream,GuestStream #009.1,8/20/2021,https://youtu.be/odkks5F9ZMM,Collective intelligence and active inference,,,,"Rafael Kaufmann,Pranav Gupta","Daniel Friedman,Bleu Knight",n/a
GuestStream,GuestStream #008.1,8/9/2021,https://youtu.be/m8gUev5aVFs,Exploring the Predictive Dynamics of Happiness and Well-Being,,,,"Mark Miller,Ines Hipolito,Julian Kiverstein",Daniel Friedman,n/a
GuestStream,GuestStream #007.1,5/28/2021,https://youtu.be/YjTD_Ifw_qA,How particular is the physics of the Free Energy Principle?,,,,"Miguel Aguilera,Christopher L. Buckley,Beren Millidge",Daniel Friedman,How particular is the physics of the Free Energy Principle?
GuestStream,GuestStream #006.1,5/10/2021,https://youtu.be/lwVIUz7O0jg,The First Prior: from Co-Embodiment to Co-Homeostasis in Early Life,,,,Anna Ciaunica,Daniel Friedman,The First Prior: from Co-Embodiment to Co-Homeostasis in Early Life
GuestStream,GuestStream #005.1,4/28/2021,https://youtu.be/Sxst-xBTMvU,A technical critique of some parts of the Free Energy Principle,,,,Martin Biehl,Daniel Friedman,A technical critique of some parts of the Free Energy Principle
GuestStream,GuestStream #004.1,4/14/2021,https://youtu.be/qEkW4YsN5PY,Natural language syntax complies with the free energy principle,,,,Elliot Murphy,Daniel Friedman,Natural language syntax complies with the free energy principle
GuestStream,GuestStream #003.1,4/7/2021,https://youtu.be/YS2X_oW6NrM,"Active Inference, VR, and Psychedelics",,,,Sarah Hashkes,Daniel Friedman,n/a
GuestStream,GuestStream #002.1,3/18/2021,https://youtu.be/5oSqT8a6-dQ,‘I interact therefore I am’ Human becoming in and through social interaction,,,,Dimitris Bolis,Daniel Friedman,n/a
GuestStream,GuestStream #001.1,2/24/2021,https://youtu.be/HZoZtiSwMvA,A critical analysis of Markovian monism,,,,Majid D Beni,Daniel Friedman,A critical analysis of Markovian monism
ModelStream,ModelStream #008.1,1/27/2023,https://youtu.be/Fh1e4sKh3Vs,Reward is Not Necessary: A Compositional Theory of Self-Preserving Agents with Empowerment Gain Maximization,,,,Tom Ringstrom,"Ali Rahmjoo,Daniel Friedman",Reward is Not Necessary: A Compositional Theory of Self-Preserving Agents with Empowerment Gain Maximization
ModelStream,ModelStream #007.2,1/18/2023,https://youtu.be/uX8iSoDR83g,pymdp,,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/ModelStream/ModelStream_007,,"Conor Heins,Karl J Friston","Daniel Friedman,Jakub Smékal,Adam Goldstein",pymdp
ModelStream,ModelStream #007.1,11/15/2022,https://youtu.be/skf3sOM-7WI,pymdp,https://zenodo.org/record/7447828#,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/ModelStream/ModelStream_007,,"Conor Heins,Daphne Demekas","Daniel Friedman,Jakub Smékal",pymdp
ModelStream,ModelStream #006.1,9/1/2022,https://youtu.be/xBKRLG97cz4,Branching Time Active Inference: the theory and its generality,,,,"Theophile Champion ","Ali Rahmjoo,Daniel Friedman",Branching Time Active Inference: the theory and its generality
ModelStream,ModelStream #005.1,1/28/2022,https://youtu.be/GR07coJNPUE,Contrastive Active Inference,,,,"Pietro Mazzaglia,Tim Verbelen",,n/a
ModelStream,ModelStream #004.1,8/19/2021,https://youtu.be/uePR4DQv0yI,Implementing Active Inference by Message Passing in a Factor Graph,,,,,,n/a
ModelStream,ModelStream #003.1,5/27/2021,https://youtu.be/G-S-kq42evw,Learning Generative State Space Models for Active Inference,,,,,,n/a
ModelStream,ModelStream #002.1,4/16/2021,https://youtu.be/UDm0lriAIJw,Active Inference: Demystified and Compared,,,,,,n/a
ModelStream,ModelStream #001.4,2/5/2021,https://youtu.be/QRGaGmT-VFM,A Step-by-Step Tutorial on Active Inference,,,,"Christopher Whyte,Ryan Smith",Daniel Friedman,n/a
ModelStream,ModelStream #001.3,1/29/2021,https://youtu.be/bDJbEofbvyk,A Step-by-Step Tutorial on Active Inference,,,,"Christopher Whyte,Ryan Smith","Daniel Friedman,Max Murphy",n/a
ModelStream,ModelStream #001.2,1/22/2021,https://youtu.be/bDJbEofbvyk,A Step-by-Step Tutorial on Active Inference,,,,"Christopher Whyte,Ryan Smith","Daniel Friedman,Max Murphy",n/a
ModelStream,ModelStream #001.1,1/15/2021,https://youtu.be/H5AolqFl2Nw,A Step-by-Step Tutorial on Active Inference,,,,"Christopher Whyte,Ryan Smith","Daniel Friedman,Max Murphy",n/a
Livestream,Livestream #053.2,3/30/2023,https://youtu.be/L6dhr5hUu8o,Snakes and Ladders in Paleoanthropology & To copy or not to copy…,,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_053,https://docs.google.com/presentation/d/1SnFr-72nPn8yAesF17mT6gw6oTflStBdPVsjBxvPfpA/edit#slide=id.g1de1e8b382f_1_0,"Michael Walker,Héctor Manrique","Dean Tickles,Daniel Friedman,Ali Rahmjoo",Snakes and Ladders in Paleoanthropology & To copy or not to copy…
Livestream,Livestream #053.1,3/23/2023,https://www.youtube.com/watch?v=iHgxmn0ockg,Snakes and Ladders in Paleoanthropology & To copy or not to copy…,,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_053,https://docs.google.com/presentation/d/1SnFr-72nPn8yAesF17mT6gw6oTflStBdPVsjBxvPfpA/edit#slide=id.g1de1e8b382f_1_0,"Michael Walker,Héctor Manrique","Dean Tickles,Daniel Friedman,Ali Rahmjoo",Snakes and Ladders in Paleoanthropology & To copy or not to copy…
Livestream,Livestream #053.0,3/17/2023,https://youtu.be/c7ybFyP9KrI,Snakes and Ladders in Paleoanthropology & To copy or not to copy…,,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_053,https://docs.google.com/presentation/d/1SWfnos3UJ9nfeuEwhUnBdl5M4RnV2lQPpc_14Ubh_zc/edit#slide=id.gc77d90b7ef_1_17,,"Dean Tickles,Daniel Friedman",Snakes and Ladders in Paleoanthropology & To copy or not to copy…
Livestream,Livestream #052.2,3/9/2023,https://www.youtube.com/watch?v=RO3XVXqvAII,"Geometric Methods for Sampling, Optimisation, Inference and Adaptive Agents",,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_052,https://docs.google.com/presentation/d/1OaNaSqJ7SJJQZe1pXZiEhyRLMUS7B19xHoZnoIFeyf0/edit#slide=id.gc77d90b7ef_1_17,Lancelot Da Costa,Daniel Friedman,"Geometric Methods for Sampling, Optimisation, Inference and Adaptive Agents"
Livestream,Livestream #052.1,3/2/2023,https://www.youtube.com/watch?v=00O1QK9FWh8,"Geometric Methods for Sampling, Optimisation, Inference and Adaptive Agents",,https://github.com/ActiveInferenceInstitute/ActiveInferenceJournal/tree/main/Livestream/LiveStream_052,https://docs.google.com/presentation/d/1OaNaSqJ7SJJQZe1pXZiEhyRLMUS7B19xHoZnoIFeyf0/edit#slide=id.gc77d90b7ef_1_17,Lancelot Da Costa,Daniel Friedman,"Geometric Methods for Sampling, Optimisation, Inference and Adaptive Agents"
